Nom,Calories,Protides,Glucides,Lipides
AIL,149,"6,4",33,"0,5"
AIL EN POUDRE,"332,3","16,8","72,7","0,8"
AIL (1 GOUSSE),"4,5",0,1,0
AMANDES BLANCHIES SÉCHÉES,586,"20,4","18,5","52,5"
AMANDES SÉCHÉES,589,20,"20,4",52
ANETH FRAÎCHE,43,"3,5",7,1
ANETH SÉCHÉE,253,20,"55,8","4,4"
ARÔME DE VANILLE,56,0,"14,4",0
ARÔME DE VANILLE (ALCOOLISÉ),237,0,"2,4",0
ASPERGES,28,"2,4",4,"0,3"
ASPERGES (1),"5,6","0,48","0,8","0,06"
AUBERGINE,29,"1,3","5,5",0
AUBERGINE (1),"72,5","3,25","13,75","0,5"
AVOCAT,208,"1,8","7,5",19
AVOCAT (1),520,"4,5","18,75","47,5"
BACON,270,17,0,22
BACON (TRANCHE),54,"3,4","0,04","4,4"
BAGUETTE,"637,5","17,5","137,5",2
BANANE,100,"1,3","22,7","0,5"
BANANE SECHEE,292,4,66,1
BANANE (1),100,"1,3","22,7","0,5"
BAR. LOUP,98,20,0,2
BASILIC FRAIS,27,"2,5","4,3","0,6"
BASILIC (FINES HERBES),251,"14,4",61,4
BETASELEN,0,0,0,0
BETTERAVE ROUGE,41,"1,5","8,5",0
BEURRE,741,"0,8",0,82
BEURRE (1 NOIX),74,"0,08",0,8
BIERE BLONDE,146,"1,07",13,0
BIERE BLONDE (33 CL),146,"1,07",13,0
BIERE ORDINAIRE,33,"0,4","3,5",0
BIFTECK BOEUF,174,25,"0,5",8
BIFTECK CHEVAL,123,23,1,3
BIG MAC MAC DONALD,559,25,"42,6","32,5"
BIGORNEAU,101,20,0,"2,3"
BISCOTTE,411,11,76,7
BISCOTTE (1),"36,58","0,99","6,76","0,62"
BISCUIT SABLE,457,"5,5",75,15
BLANC D'OEUF,49,11,"0,8",0
"BLANC D'OEUF FRAIS, CRU",50,"10,5",1,0
BLANC D'OEUF (1),"21,76","4,88","0,36","0,09"
BLANC DE POULET,142,26,"0,5",4
BOUDIN BLANC,330,15,45,10
BOUDIN NOIR,439,24,3,34
BOUILLON DE VOLAILLE,307,"9,6","65,6","7,5"
BROCHET,93,21,0,1
BUNDY CAP'TAIN CROCO,391,10,64,"10,6"
CABILLAUD,74,16,0,1
CACAHUETTES,576,23,22,44
CAFE FILTRE,"4,3",0,"0,74","0,01"
CAFE FILTRE (1 TASSE),"4,3",0,"0,74","0,01"
CAFE NESCAFE,4,0,"0,8",0
CAFE NESCAFE (1 TASSE),4,0,"0,8",0
CAILLE,115,24,"0,5","1,5"
CAKE,413,"6,4","54,8","18,7"
CALMAR FRIT,167,15,"6,62","8,36"
CALMAR NATURE,92,"16,5","2,6","1,7"
CAMEMBERT ( PORTION 50 G),"149,5","8,75","0,9","12,35"
CAMENBERT,299,"17,5","1,8","24,7"
CANARD ROTI,196,"23,5",0,11
CANNELLE,"261,3","3,9","79,8",3
CÂPRES EN BOÎTE,23,"2,4","4,9","0,9"
CARDAMOME,"311,3","10,8","68,5","6,7"
CARENCYL,0,0,0,0
CAROTTE,40,1,"8,5",0
CAROTTE (1),"28,8","0,79","6,12","0,14"
CARPE,110,"18,5",0,4
CARRELET (POISSON),65,15,"0,5","0,6"
CASSIS,54,1,12,0
CAVIAR,330,30,"7,5",20
CELERI FEUILLE,21,"1,3","3,5",0
CELERI RACINE,44,2,"8,5",0
CELERI RACINE (1),"17,6","0,8","3,4","0,08"
CEREALES CROPSY FRUIT,545,"8,6","56,8","21,4"
CEREALES CROPSY FRUIT (1 BOL),"163,5","2,58","17,04","6,42"
CEREALES NATURE,489,12,65,22
CEREALES NATURE (1 BOL),"146,7","3,6","19,5","6,6"
CERFEUIL,"236,6",23,49,"3,9"
CERISES,68,1,15,"0,4"
CERVELLE D'AGNEAU POELEE,228,"14,4",0,"18,9"
CHAIR A SAUCISSE,421,15,1,38
CHAMPAGNE,60,0,"8,6",0
CHAMPIGNONS,28,2,"4,5","0,3"
CHARLOTTE (GATEAU),306,"5,7",34,"8,3"
CHATAIGNE FRAICHE,200,4,42,3
CHEVAL ROTI,142,"23,9",0,5
CHOCAPIC,375,"7,3","75,8","4,8"
CHOCAPIC (1 BOL),"112,5","2,19","22,74","1,44"
CHOCOLAT A CROQUER,500,7,64,24
CHOCOLAT AU LAIT,550,6,55,34
CHOCOLAT EN POUDRE,400,5,86,4
CHOU-FLEUR,30,"2,4","4,5",0
CHOU CRU,27,"1,4",5,0
CHOU CUIT,41,"1,5",8,"0,4"
CHOUCROUTE,27,"1,3","4,8","0,3"
CHOUX DE BRUXELLES,55,"4,3",8,"0,6"
CHROME 400MCG PICOLINATE,0,0,0,0
CIBOULETTE CRUE,30,"3,3","4,4","0,7"
CIBOULETTE LYOPHILISÉE,311,21,"64,3","3,5"
CITRON JAUNE,34,"0,7","6,5","0,5"
CITRON JAUNE (1),"36,72","0,76","7,02","0,54"
CITRON VERT,31,"0,5",7,0
CITROUILLE,31,"1,3",6,0
CLOUS DE GIROFLE,"322,7",6,61,20
COCA-COLA,45,0,"10,7",0
COCA-COLA (1 CANETTE 33 CL),"147,87",0,"35,16",0
COEUR DE BOEUF,140,22,"0,3","5,8"
COING,58,"0,4",14,0
COLIN (MERLU),91,17,0,"2,5"
CONCOMBRE,12,"0,7",2,0
CONCOMBRE (1),"36,12","2,11","6,62","0,3"
CONE GLACE CRÈME,377,10,"77,9","2,4"
CONFITURE,270,1,66,0
CONFITURE (1 CUIL.A SOUPE),"95,31","0,35","23,3","0,07"
CONGRE (POISSON),110,20,0,3
CONTREXEVILLE,0,0,0,0
COQUILLE ST-JACQUES,92,15,"3,4","0,4"
CORN FLAKES,368,11,76,"2,3"
CORN FLAKES (1 BOL),"110,4","3,3","22,8","0,69"
CORNICHON,13,"0,7","2,3",0
COTE D'AGNEAU,242,20,0,18
COTE DE BOEUF ROTIE,199,23,0,"11,9"
COTELETTE DE PORC,319,"21,7",0,"25,8"
COURGETTES,33,"1,3","6,5",0
COUSCOUS,120,"3,5",22,2
CRABE (CHAIR),108,"18,5","0,5","3,5"
CREME CHANTILLY,316,"2,3",3,"32,7"
CREME D'ASPERGES (SOUPE),178,"4,5","21,5",8
CREME FRAICHE,282,"3,5",4,28
CRESSON,21,"1,7","2,9","0,3"
CREVETTE (1),"6,3","1,14","0,03","0,18"
CREVETTES,105,19,"0,5",3
CROISSANT,348,7,48,15
CUISSE POULET ROTI,169,22,0,9
CUISSE POULET ROTI (1),"253,5",33,0,"13,5"
CUISSES DE GRENOUILLE,69,"16,4",0,"0,3"
CUMIN,333,"19,8","49,9","14,6"
CURRY,325,"12,7",58,"13,8"
DAIQUIRI,185,0,7,"0,06"
DATTES,315,2,75,"0,6"
DORADE,91,16,0,3
ECHALOTE,75,"1,3",17,0
ECHALOTES,72,"2,5","16,8",0
ECHALOTES LYOPHILISÉES,348,"12,3","80,7","0,5"
ECLAIR (GATEAU),239,6,23,"13,6"
ECREVISSE,64,14,1,"0,4"
ENDIVE (1),48,3,8,"0,4"
ENDIVES,24,"1,5",4,0
EPAULE D'AGNEAU ROTIE,168,21,0,9
EPHYNAL ROCHE,0,0,0,0
EPINARD,27,"2,3",4,0
ESCALOPE DE DINDE,116,20,0,4
ESCALOPE DE VEAU,139,22,0,"5,6"
ESCARGOT,75,15,2,"0,8"
ESPADON,132,"21,6",0,"4,5"
ESTRAGON,"295,5","22,8",50,7
ESTURGEON,115,"17,6",0,"4,5"
EVIAN,0,0,0,0
EXTRAIT DE VANILLE,288,0,"12,7",0
FAISAN,108,22,"0,5",2
FARINE DE BLE,384,"8,9",85,"0,9"
FAUX-FILET,148,22,"0,5","6,5"
FENOUIL,21,"1,9","2,8",0
FENOUIL (1),84,"7,6",11,"0,8"
FEUILLE DE CORIANDRE SÉCHÉE,"278,9","21,9",52,"4,8"
FEUILLES DE LAURIER (ÉMIETÉES),"313,5","7,6",75,"8,4"
FEVE SECHE,345,23,60,"1,5"
FIGUES,84,"0,8",19,"0,4"
FIGUES SECHES,257,"4,3",62,1
FILET DE BOEUF,143,24,"0,5",5
FLETAN,125,"22,5",0,5
FLOCONS D'AVOINE,371,"13,5",67,"5,5"
FOIE DE VEAU,138,"18,5","2,4",6
FOIE GRAS,477,13,5,45
FRAISE (1),"4,44","0,08","0,9","0,06"
FRAISES,37,"0,7","7,5","0,5"
FRAISES (1 PORTION),"55,5","1,05","11,25","0,75"
FRAMBOISE,43,1,"8,5","0,5"
FRITES,318,"4,4","36,3",17
FROMAGE GOUDA,347,24,2,"26,4"
FROMAGE BLANC 0MG,56,9,"4,5",0
FROMAGE BLANC 20MG,113,9,8,5
FROMAGE BRIE,271,17,"3,5",21
FROMAGE CANTAL,385,23,"5,8",30
FROMAGE CHEDDAR,395,24,"1,5","31,9"
FROMAGE DE CHEVRE,320,20,15,20
FROMAGE DE CHEVRE ( DE 50G),160,10,"7,5",10
FROMAGE DE MOZZARELLA,271,"18,5",2,"20,9"
FROMAGE MUNSTER,320,21,5,24
FRUITS AU SIROP,103,"0,5",25,0
FRUITS SECS MELANGE,335,"2,4",78,"1,5"
GALANTINE,248,43,1,8
GERME DE BLE,387,29,"48,5","8,5"
GIGOT DE MOUTON ROTI,214,22,0,14
GIN,255,0,0,0
GIN AND TONIC,171,0,0,0
GINGEMBRE,347,9,"70,8","5,9"
GLACE A LA VANILLE,186,4,20,10
GLACE A LA VANILLE (1 BOULE),"111,6","2,4",12,6
GLACE AU CHOCOLAT,200,4,21,11
GLACE AU CHOCOLAT (1 BOULE),120,"2,4","12,6","6,6"
GLACE AU CITRON,125,"0,4",31,0
GLACE AU CITRON (1 BOULE),75,"0,24","18,6","0,06"
GOUJON,68,12,0,"1,5"
GOYAVE,53,"0,7",11,"0,6"
GRAINES D'ANIS,"337,3","17,6",50,"15,9"
GRAINES DE CORIANDRE,"297,5","12,4",55,"17,8"
GRAINES DE CUMIN,"374,5","17,8",44,"22,3"
GRAINES DE FENOUIL,"344,9","15,8","52,3","14,9"
GRAINES DE PAVOTS,533,18,"23,7","44,7"
GROSEILLES,46,1,"9,5","0,4"
GRUYERE,430,"30,6","0,3","33,6"
HADDOCK,101,23,0,1
HADDOCK FUME,95,"21,5",0,1
HARENG,212,19,0,15
HARENG FUME,215,22,0,14
HARICOTS BLANCS,128,8,23,"0,5"
HARICOTS ROUGES,328,"22,8",58,"1,5"
HARICOTS SECS,337,21,60,"1,5"
HARICOTS VERTS,35,"2,3",6,0
HARICOTS VERTS (1 PORTION),"29,75","1,96",5,"0,17"
HOMARD,94,18,1,2
HUILE DE GERME DE BLE (1 C.A SOUPE),122,0,0,"13,6"
HUILE D'OLIVE,121,0,0,"13,5"
HUILE D'OLIVE (1 C. A SOUPE),121,0,0,"13,5"
HUILE DE COLZA,122,0,0,"13,6"
HUILE DE COLZA (1 CUIL. A SOUPE),122,0,0,"13,6"
HUILE DE GERME DE BLE,122,0,0,"13,6"
HUILE DE NOIX,122,0,0,"13,6"
HUILE DE NOIX (1 CUIL. A SOUPE),122,0,0,"13,6"
HUILE DE SOJA,122,0,0,"13,6"
HUILE DE SOJA (1 CUIL. A SOUPE),122,0,0,"13,6"
HUILE DE TOURNESOL,122,0,0,"13,6"
HUILE DE TOURNESOL (1 C. A SOUPE),122,0,0,"13,6"
HUITRES,73,9,"4,5",2
HUITRES (12),"100,38","12,38","6,19","2,89"
INSTANT MASS SPORT SYSTEME,372,"31,4",60,"0,4"
JAMBON DE DINDE,123,20,"0,3","4,8"
JAMBON MAIGRE,112,21,"0,5","2,9"
JAMBON MAIGRE (1 TRANCHE),56,"10,5","0,25","1,45"
JAMBON ORDINAIRE,170,"18,5","1,5",10
JAMBON ORDINAIRE (1 TRANCHE),85,"9,25","0,75",5
JAUNE D'OEUF,358,"16,8","1,8","30,9"
JAUNE D'OEUF (1),"59,12","2,67","0,05","5,34"
JUS D'ANANAS,57,"0,3","13,8",0
JUS D'ORANGE,51,0,"12,8",0
JUS D'ORANGE (1 VERRE),"127,5",0,32,0
JUS DE CAROTTE,41,"0,9","9,6",0
JUS DE CITRON,5,"0,06","1,3",0
JUS DE CITRON (1),"15,67","0,19","4,07",0
JUS DE LEGUME COCKTAIL,"19,5","0,6","4,6",0
JUS DE PAMPLEMOUSSE,39,"0,5","9,3",0
JUS DE POMME,49,0,12,0
JUS DE RAISIN,66,"0,6",16,0
JUS DE TOMATE,20,1,"4,4","0,04"
JUVAMINE FIZZ,0,0,0,0
KAKI,81,"0,8",19,0
KETCHUP,102,"0,4",25,0
KIWI,46,"0,7",11,"0,3"
KIWI (1),"34,5","0,52","8,25","0,23"
LAIT DE SOJA,49,4,3,"2,3"
LAIT DEMI-ÉCRÈMÉ,43,"2,8","4,5","1,5"
LAIT ÉCRÈMÉ LIQUIDE,35,"3,4","4,9",0
LAIT ÉCRÈMÉ POUDRE,358,35,52,"0,7"
LAIT ÉCRÈMÉ POUDRE (1c.SOUPE),"48,33","4,73","7,02","0,09"
LAIT ENTIER LIQUIDE,63,"3,4","4,9","3,4"
LAITUE,17,"1,3","2,6",0
LAITUE (1 PORTION),5,"0,39","0,78","0,03"
LANGOUSTE,98,17,"0,5",2
LANGUE DE BOEUF,229,"18,8","0,4",17
LAPIN CHASSEUR,139,28,0,3
LAPIN CUIT EN CIVET,139,28,0,7
LAROSCORBINE EFFERVESCENTE,0,0,0,0
LENTILLES CUITES,115,"8,9",20,"0,4"
LENTILLES (PESÉES CRUES),330,23,56,"1,5"
LEVURE DE BIÈRE,381,49,32,"6,3"
LIEU,85,19,0,1
LIEVRE,98,22,0,1
LIMANDE,76,"16,5",0,1
LIQUEUR,574,0,78,0
LOTTE,86,18,0,"1,5"
MACARONIS CUITS,140,5,29,"0,4"
MACARONIS (PESES CRUS),361,13,75,1
MACIS,"475,4","6,7","50,5","32,4"
MAIS (GRAINS),360,"9,4",74,"4,3"
MANDARINE,41,"0,5","9,4",0
MANGUE,64,"0,4",15,0
MAQUEREAU A LA POELE,224,20,0,16
MAQUEREAU EN BOITE,151,22,0,7
MAQUEREAU (FILETS),184,19,0,12
MARGARINE DURE,34,"0,04","0,04","3,8"
MARGARINE EN BOITE,34,0,0,"3,8"
MARGARINE TARTINABLE,34,"0,04","0,02","3,8"
MARJOLAINE SÉCHÉE,"271,5","12,7","60,6",7
MARRONS GRILLÉS,362,"7,4",72,5
MARTINI,156,0,"0,8",0
MAYONNAISE,99,"0,15","0,37",11
MELON,37,"0,8","8,4",0
MERLAN FILET NATURE,90,18,0,2
MERLAN FRIT,134,20,0,6
MIEL,312,"0,4",77,0
MILK & EGG PROTEIN 55,369,"50,7","40,3","0,6"
MILK & EGG PROTEIN 90,361,"86,5","1,8","0,9"
MILO,399,"6,6","86,3",3
MORTADELLE,263,18,"0,5",21
MOULES NATURE,76,12,"2,5",2
MOULES PREPARÉES,146,20,6,4
MOUTARDE,105,"5,9","5,3","6,7"
MUESLI FRUITS,371,8,60,11
MURES,57,"0,6","12,8","0,4"
MYRTILLES,80,1,"15,5","0,5"
NAVET,31,1,7,0
NECTARINE,59,1,13,"0,4"
NOISETTE,566,14,15,50
NOIX DE COCO,362,4,10,34
NOIX DE MUSCADE,"524,7","5,8","49,3","36,3"
OEUF,149,"12,5",1,10
OEUF AU PLAT,199,"13,5","1,4",15
OEUF AU PLAT (1 OEUF),92,"6,4","0,6",7
OEUF BROUILLÉ,166,11,2,12
OEUF DUR,155,"12,6",1,"10,6"
OEUF DUR (1),"85,25","6,93","0,55","5,83"
OEUF POCHÉ,149,"12,4",1,10
OEUF (1),"65,6","5,5","0,5","4,4"
OIGNON,43,"1,4",9,0
OIGNON EN POUDRE,"346,7",10,"80,7",1
OIGNON (1),"47,3","1,54","9,9","0,22"
OLIGONATAL GROSSESSE,0,0,0,0
OLIGOPHANERES,0,0,0,0
OLIVE VERTE,193,"0,7",18,7
OLIVE VERTE (1),"8,11","0,03","0,76","0,29"
OMELETTE,152,"10,3",1,"11,4"
OMELETTE (1 OEUF),95,"6,44","0,63","7,06"
ONGLET,182,24,"0,5",9
ORANGE,50,1,11,0
ORANGE (1),"87,5","1,75","19,25","0,35"
ORIGAN,"305,9",11,"64,4","10,3"
OSEILLE,25,"2,7","2,5","0,5"
PAIN AU RAISIN,262,"6,5",52,3
PAIN BLANC,255,7,55,"0,8"
PAIN COMPLET,240,8,50,"0,8"
PAIN COMPLET (1 TRANCHE),48,"1,6",10,"0,16"
PAIN D'ÉPICE,385,5,72,5
PAIN DE SEIGLE,241,7,51,1
PAIN GRILLE,355,13,"72,9","6,5"
PAMPLEMOUSSE,40,"0,6",9,0
PAMPLEMOUSSE (1),135,2,"30,4","0,7"
PAPAYE,44,"0,6",10,0
PAPRIKA,289,"14,8","55,7",13
PARMESAN,390,36,3,26
PATE D'AMANDES,462,"11,9",44,26
PATE DE FOIE,454,14,5,42
PATES AU GLUTEN,348,20,62,2
PATES (PESEES CRUES),361,13,75,1
PATES (PESEES CUITES),140,5,29,"0,4"
PAVE DE BOEUF,173,28,"0,5","6,5"
PECHE,49,"0,6","11,5",0
PECHE AU SIROP,88,"0,5",21,0
PECHE (1),"73,5","0,9","17,25","0,15"
PERCHE,105,19,0,3
PERRIER,0,0,0,0
PERSIL,54,"3,7","7,5",1
PERSIL SÉCHÉ,276,"22,4","51,7","4,4"
PETIT SUISSE,191,10,4,15
PETIT SUISSE (1 DE 30 G),"57,3",3,1,"4,5"
PETIT SUISSE (1 DE 60 G),"114,6",6,"2,4",9
PETITS POIS,90,"6,5",15,"0,5"
PETITS POIS (1 PORTION),72,5,12,"0,4"
PIEUVRE. POUPLE,84,"14,7","1,8",2
PIMENT EN POUDRE,314,"12,3","54,7","16,8"
PISSENLIT,48,"2,7",8,"0,6"
PIZZA CALZONE,269,13,38,9
PIZZA JAMBON-FROMAGE,254,"9,5",36,8
POIRE,53,"0,5",12,"0,3"
POIREAU,41,2,"7,5","0,3"
POIRES AU SIROP LEGER,72,"0,3",16,"0,3"
POIRES AU SIROP SUCRÉE,108,"0,3",26,"0,3"
POIS CHICHE,364,18,61,6
POIVRE,6,0,"1,3","0,07"
POIVRE BLANC,296,"10,4","68,6",2
POIVRE DE JAMAÏQUE,"262,6",6,72,"8,7"
POIVRE NOIR,255,"10,9","64,8","3,3"
POIVRE ROUGE (OU DE CAYENNE),318,12,"56,6","17,3"
POIVRON,22,1,4,0
POMME,58,0,"13,5","0,4"
POMME DE TERRE,65,2,14,0
POMME DE TERRE (1 DE 150 G),"97,5",3,21,"0,15"
POMME (1),116,"0,4",27,"0,8"
POP CORN (MAIS),360,"4,5",80,1
PORE (1),"94,66","0,89","21,43","0,54"
PORT SALUT,346,23,"0,5",28
PRAIRE (CRUSTACE),120,"21,7","4,4","1,7"
PROTI PLUS 85% DE BODY FORM,369,"85,8","3,6","1,3"
PRUNE,53,"0,8",11,0
PRUNE (1),"26,5","0,4","5,5",0
PRUNEAU,295,"2,3",70,"0,6"
PUNCH,230,"0,5","18,5",0
QUAKER OATS,371,"13,5",67,"5,5"
RADIS,21,1,"3,9",0
RAGOUT DE BOEUF,171,28,0,"5,5"
RAIE,93,21,0,1
RAISIN,74,"0,9",16,"0,7"
RAISIN SEC,304,3,70,"1,3"
RAISIN (1 PORTION),59,"0,72","12,8","0,56"
RAISINS SECS,296,"2,5","78,5","0,5"
RHUM,24,"0,3",5,0
RILLETTES,601,22,0,57
RIS (THYMUS),135,20,0,5
RIZ BLANC (CUIT),132,"2,7",29,0
RIZ COMPLET (CUIT),109,"2,5","22,5",1
ROGNON DE BOEUF,117,"21,7","0,8",3
ROGNONS DE VEAU,133,"22,4",0,"4,82"
ROMARIN SÉCHÉ,"331,5","4,9",64,15
ROQUEFORT,368,"21,5",2,"30,5"
ROTI DE DINDE,124,"21,5",0,4
ROTI DE PORC,202,"21,6",0,"12,8"
ROTI DE VEAU,121,"23,9",0,"2,8"
ROUSSETTE,151,"17,5",0,9
RUMSTEAK,166,23,"0,5",8
SAFRAN,310,"11,4","65,4","5,9"
SAFRAN DES INDES,354,"7,8","64,9","9,9"
SALADE DE MAIS,"7,5","0,6",1,0
SALADE DE THON,159,"13,6",8,8
SALSIFIS,73,"3,6","13,6","0,9"
SANDWICH JAMBON-BEURRE,356,"10,3",36,"18,8"
SANDWICH JAMBON-FROMAGE,352,"20,7","33,3","15,5"
SARDINE ENTIERE,142,22,0,6
SARDINES A L'HUILE,191,"22,6",0,"10,5"
SARDINES A L'HUILE (1),"57,3","6,78",0,"3,15"
SAUCE AIOLI,747,2,"1,5",80
SAUCE SALADE,522,2,3,55
SAUCE SALADE (1 CUIL. A SOUPE),"67,86","0,29","0,39","7,15"
SAUCE SPAGHETTIS,33,1,5,1
SAUCE TOMATE,50,"1,15","10,7",1
SAUCISSE DE FRANCFORT,236,"10,5","2,5","20,5"
SAUCISSE DE FRANCFORT (1),118,"5,25","1,25","10,25"
SAUCISSON SEC,546,24,0,50
SAUCISSON SEC (1 RONDELLE),"32,76","1,44",0,3
SAUGE,"314,8","10,6","60,7","12,7"
SAUMON,179,20,0,11
SAUMON (FILET),358,40,0,22
SEICHE,67,"14,8","0,7","0,6"
SEL,0,0,0,0
SELEGERME,295,"34,5","23,7","6,9"
SEMOULE DE BLE,345,10,74,1
SEMOULE DE MAIS,365,"8,8",78,1
SENIORS SIMPLEX VIT'ALL.,0,0,0,0
SOJA (FARINE),358,45,40,2
SOJA (GRAIN SEC),422,35,30,18
SOLE,75,"16,5",0,1
SOLE (1),"112,5","24,75",0,"1,5"
SOUPE A L'OIGNON,64,"3,7",8,"1,8"
SOUPE AU POULET,180,"12,7","17,3","6,6"
SOUPE AUX CHAMPIGNONS,127,"2,3","9,4","8,9"
SOUPE LEGUMES,123,"3,5",19,"3,7"
SOUPE MINESTRONE,84,4,11,"2,5"
SPAGHETTIS CUITS,140,5,29,"0,5"
SPAGHETTIS (PESES CRUS),385,13,75,"1,5"
STEACK ALOYAU,163,25,0,7
STEACK HACHE 5 MG,124,21,0,"4,4"
SUCRE BLANC,400,0,100,0
SUCRE BLANC (1),20,0,5,0
SUCRE BRUN,376,0,"97,3",0
SUCRE EN POUDRE,389,0,"99,5",0
SUPER COMPLEXE VIT'ALL+,0,0,0,0
TAPIOCA (MANIOC),348,"0,6",86,0
TARTE AUX CERISES,313,3,"45,3","13,3"
TARTE AUX FRAISES,191,2,29,"7,5"
TARTE AUX POMMES,308,"2,6",45,13
THE,1,0,0,0
THON CRU,122,"19,8",0,4
THON EN BOITE,111,25,0,"0,42"
THON EN BOITE (1 BOITE DE 160 G),"177,6","40,32",0,"0,67"
THYM FRAIS,101,"5,6","24,5","1,7"
THYM MOULU,276,9,"63,9","7,4"
TOMATE,21,1,"3,7","0,3"
TOMATE (1),42,2,"7,4","0,6"
TOP CEREALES MUESLI,360,"8,6",66,7
TOP CEREALES MUSFRUITS,400,8,62,14
TRIPES,94,18,1,2
TRUITE,128,"22,4",0,"3,6"
TRUITE DE MER,104,18,0,3
TURBOT,118,16,0,6
VICHY ST-YORRE,0,0,0,0
VIN BLANC,70,0,"0,8",0
VIN ROSE,73,0,"1,5",0
VIN ROUGE,74,0,"1,8",0
VINAIGRE,9,0,1,0
VINAIGRE (1 CUIL. A SOUPE),9,0,1,0
VINAIGRETTE TYPE (OLIVE),"260,54","0,44","2,19","27,39"
VITTEL GRANDE SOURCE,0,0,0,0
VITTEL HEPARD,0,0,0,0
VODKA,238,0,0,0
VOLVIC,0,0,0,0
WHISKY,238,0,"0,03",0
YAOURT BIFIDUS ACTIF,57,"3,3","3,9",3
YAOURT BIFIDUS ACTIF (POT 125 G),"71,25","4,13","4,88","3,88"
YAOURT BULGARE,52,4,5,"1,7"
YAOURT BULGARE ( POT 125 G),65,"5,13","6,38","2,13"
YAOURT MAIGRE,54,"5,7","7,6",0
YAOURT MAIGRE ( POT 125 G),"67,5","7,13","9,5","0,13"
YAOURT NATURE,65,4,"4,6","3,5"
YAOURT NATURE (POT  125 G),"81,25",5,"5,75","4,38"
YOPLAIT AUX FRUITS,115,3,"19,6","2,7"
YOPLAIT AUX FRUITS (POT 125 G) ,"143,75",4,"24,5","3,38"
